Category,Fuel,Segment,Euro.Standard,Technology,Pollutant,Mode,Road.Slope,Load,Min.Speed.[km/h],Max.Speed.[km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction.Factor.[%],Bio.Reduction.Factor.[%],120
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0,0.5,12,105,0.000238053594030979,-0.00607057954343632,1.18697032113276,4.45758530917702,0.000144505592483754,0.00648819231586635,0.14104633836834,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0,1,12,105,0.000559559121584609,-0.0195204880455262,1.92922198745263,6.78126074048626,0.00030619906924716,0.00416125244190105,0.272267041999209,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.02,0,12,105,0.000187481229826421,0.0128712468927688,2.04031457992233,3.63097013115072,0.000124671386674848,0.0234394490321792,0.0982187673456247,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.02,0.5,12,105,0.00020882734132236,0.00848427078384401,1.88434919077962,5.3628025413184,0.000112918483365864,0.0175379867050081,0.153619862746732,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.02,1,12,104,0.000337370102314824,0.0120523994762678,-0.58476315599625,6.748719559022,0.000339983299178979,-0.0108890812293659,0.107973650313788,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.04,0,12,104,0.000292896140888231,0.15785769421554,1.68459561014717,-8.9891146530793,0.000944110636410308,0.0454242354853021,-0.240344153241447,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.04,0.5,12,97,3.54303145040239e-06,0.04699155222917,2.17290781822922,6.50660675411664,0.000217929304026773,0.0227821461943146,0.183450856397514,0,0,0,97
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.04,1,12,86,-0.000185819462612424,0.0883873309488862,2.87672142076837,5.73274705930748,0.000364366091345531,0.0300208310741295,0.215862849138619,0,0,0,86
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.06,0,12,90,-1.63727236490313e-05,0.0449258866724517,1.99876732897501,5.66008682173563,0.000212341394940851,0.0215582265527371,0.170367298729182,0,0,0,90
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.06,0.5,12,78,-0.000152706092761511,0.0728464586755519,2.35662005538559,4.67488555465947,0.000305681332536418,0.0249761794205924,0.177808489826084,0,0,0,78
Buses,Diesel,Coaches Articulated >18 t,Euro III,,CO,,0.06,1,12,66,-0.0017759929664251,0.443250739925255,3.80475604439428,-2.48088143140142,0.0017024847518572,0.071996102247884,0.0775871219189325,0,0,0,66
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.06,0,12,105,9.16697085618866e-05,-0.0281872822803496,5.41826060025153,-10.7194782917774,0.00129370552472557,-0.00030928950973354,0.106241744708589,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.06,0.5,12,105,0.000105112774693622,-0.0316364327643541,5.50759714358446,-11.7615643684619,0.001355561715498,-0.00126034171423767,0.120642106128364,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.06,1,12,105,4.78644602028621e-05,-0.0141572482170413,2.28407109288166,-5.26003875031661,0.000570297435734771,-0.000862980905938241,0.0541664374878528,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.04,0,12,105,2.07567984953439e-05,-0.00778285030236736,4.56499350767447,-13.4549545951113,0.000763816347187023,0.00402769330296365,0.0409554445521228,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.04,0.5,12,105,2.80964993839136e-05,-0.0102863458609515,4.79052197278774,-14.497658385371,0.000814369759322628,0.00387287715396826,0.0491117260255879,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.04,1,12,105,3.52795709346746e-05,-0.0127086629150545,5.0501901778471,-15.8735199004183,0.000856063907542158,0.00373134701254752,0.0572699938280673,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.02,0,12,105,9.23322124668067e-05,-0.00861668560976639,1.12098902150993,7.05396136589835,4.10550413857862e-05,0.00330073609512304,0.0358776187808083,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.02,0.5,12,105,0.000147295681822487,-0.0238351079072929,3.2245772081295,4.25877682812119,8.85676454226629e-05,0.00939227326890592,0.0426161486232904,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,-0.02,1,12,105,0.000101516350462031,-0.0228446989918263,2.97829001431404,5.45216459234188,6.26132604324379e-05,0.00879248852661069,0.0464884990784875,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0,0,12,105,4.16411760612985e-05,0.0104526968806213,2.20828982291847,16.618947463455,-1.81883154198866e-05,0.00873424442617041,0.0586943859089372,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0,0.5,12,105,0.0001588814132144,0.063979479175849,12.4142841913807,1.21058558096034,-9.88786483681114e-05,0.0472610397915591,0.00432608256903927,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0,1,12,105,1.44692978660947e-05,0.0121783920596622,2.36324800908559,17.2049947486314,-1.65823760026834e-05,0.00775386006177611,0.068950221343383,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.02,0,12,105,0.000250142697200499,0.0375524417999156,1.54928765638994,17.1026880445903,2.46384787846463e-05,0.00561286561184932,0.0587381121002968,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.02,0.5,12,105,0.00137006200901516,0.142541652676586,3.76397812134125,22.7892775277001,0.00016137490561458,0.0142126515896926,0.0732352924772083,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.02,1,12,104,0.000168802158167904,0.0565449750977467,1.42309265478645,5.215105560623,2.19432195346433e-05,0.00548433887138778,0.0165193717459564,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.04,0,12,104,0.00271655838354468,0.576188128653774,5.22536907646767,0.150620934519608,0.000336618200224433,0.0404010405622137,-0.126106630215844,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.04,0.5,12,97,0.000381083727828129,0.111809705601947,1.9608109965626,6.95873292840279,3.75257058321077e-05,0.00790109247252433,0.0178062256499089,0,0,0,97
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.04,1,12,86,2.05562487976737e-05,0.032266920245926,2.2234774807096,7.89490348211733,-1.22820563024026e-05,0.00391745139299009,0.04603708206613,0,0,0,86
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.06,0,12,90,2.32262137454817e-05,0.032552178766416,2.31729513998474,8.50982222574433,-1.28783730345749e-05,0.00422758965805751,0.0504575702881765,0,0,0,90
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.06,0.5,12,78,0.000351507050049374,0.135630633893906,2.01291625041041,9.14222117241978,2.28972939990758e-05,0.00739327023682625,0.0240313175236247,0,0,0,78
Buses,Diesel,Coaches Articulated >18 t,Euro III,,NOx,,0.06,1,12,66,0.00187830766446113,0.138381121106921,1.80400557537767,10.0017447041439,8.36664785591054e-05,0.00606904094266058,0.0233808062635116,0,0,0,66
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.06,0,12,105,7.38182326159973e-17,-2.07728097560498e-14,3.10718908453211,6.78158818673773e-11,0.00271395271676302,0.168605952536259,-0.117115872240409,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.06,0.5,12,105,1.76379750085061e-06,-0.000378027567438432,0.082206968193342,3.76196817439564,2.68454329394073e-05,0.00931508527993444,0.192043884117656,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.06,1,12,105,-6.2105885966216e-06,0.00316063542208051,0.341263294632669,-4.19662335697607,0.000670693483640738,0.0126757613765398,-0.2251768029768,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.04,0,12,105,-1.4358934879524e-05,0.000990161670474905,0.720631368436341,-4.85804427138485,0.000518425806791435,0.0298660094123008,-0.219692965482514,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.04,0.5,12,105,2.0002880960501e-06,-0.00175102358138176,0.420923797100092,3.54427102735658,0.000135205713804436,0.0250968346413952,0.159462121678088,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.04,1,12,105,-8.49624706413054e-05,0.0154225371726231,0.862496089111146,-5.86056501747476,0.00173972225109567,0.0350082964130645,-0.275276178581313,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.02,0,12,105,2.64311781716467e-06,0.00692448961724894,0.52493922196158,3.04674102854237,0.00042499366383506,0.0272159411806639,0.125362863353596,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.02,0.5,12,105,7.63275131044626e-18,-3.95978368455207e-15,2.34183831124287,5.01240495938091e-12,0.000514222836293558,0.118707209039109,-0.0505343161625887,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,-0.02,1,12,105,-6.27373596769342e-19,1.79757241751756e-16,2.83839093531605,-1.74124809223036e-12,0.000876463463390044,0.147216031009404,-0.0910642252979075,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0,0,12,105,9.68482268513005e-06,0.0281077735560456,0.939627002109268,-4.13359251339328,0.00112540757136448,0.0496802815489023,-0.222570061295706,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0,0.5,12,105,1.57113603064972e-05,0.0343393393798591,1.16381292651178,-3.10706835788617,0.00138037960905561,0.0660083761730846,-0.224085377554874,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0,1,12,105,2.30792640483247e-05,0.0434191288556208,1.41726738763547,-3.63648621575234,0.00175847098046636,0.0849591020265393,-0.301967536368589,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.02,0,12,105,1.72481229609336e-05,0.0406981423134327,0.515807558626847,-3.48140958790114,0.00164619928845655,0.032318983602162,-0.222162810146982,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.02,0.5,12,105,-1.38125688558437e-17,-2.20988370134649e-15,2.53037492027723,8.83586487632391e-12,-0.000343223028324053,0.128820902940817,-0.0411894969480174,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.02,1,12,104,-1.01810632774574e-16,-9.16978143607416e-15,2.74268114024262,2.74171777110408e-11,-0.00055720866735227,0.147802402073802,-0.098188563046235,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.04,0,12,104,-1.23484563452908e-17,-9.96386034339383e-16,2.94106326441554,3.62308791210385e-12,-0.000585109346704297,0.154533066576577,-0.143671473427572,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.04,0.5,12,97,1.1887049692005e-05,0.0016029632574257,0.377184765825126,3.35794954079056,-4.93521525434752e-05,0.0217382679376166,0.124866212807434,0,0,0,97
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.04,1,12,86,3.47353806711331e-05,0.0146798070528063,0.423004618735441,2.98790017291946,0.000253026646235397,0.0341603139435641,0.0340684274055289,0,0,0,86
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.06,0,12,90,-5.95015396804009e-07,0.00253897504809672,0.145635716179796,3.50061183185192,-4.82999344005498e-06,0.0103093779498605,0.135846613003329,0,0,0,90
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.06,0.5,12,78,4.21641001161734e-05,0.0152993958529859,0.363770469860396,2.73570621320706,0.000242605200130136,0.0313042865954644,0.0273212802944043,0,0,0,78
Buses,Diesel,Coaches Articulated >18 t,Euro III,,VOC,,0.06,1,12,66,0.00112078930730228,0.227606044988692,2.65585464256548,-6.47293937791441,0.00487782011793909,0.299227311945117,-1.48411796550089,0,0,0,66
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.06,0,12,105,2.212707142033e-06,-0.00155159217348428,0.257752489690484,2.33906791274603,-0.000143646978971024,0.0371157854681851,0.360338217232245,0,0,0,105
